0,0,0,2,0,255
1,0,0,3,0,255
2,8,1,1,44,255
3,27,1,4,135,255
4,0,2,0,0,255
5,30,2,5,153,255
6,0,3,0,0,255
7,27,3,5,135,255
8,27,3,6,135,255
9,0,4,0,0,255
10,30,4,6,153,255
11,0,5,0,0,255
12,36,5,6,180,255
13,0,6,0,0,255
14,27,6,7,135,255
15,18,6,8,90,255
16,0,7,0,0,255
17,27,7,9,135,255
18,0,8,0,0,255
19,36,8,9,180,255
20,0,9,0,0,255
21,30,9,10,153,255
22,0,10,0,0,255
23,27,10,10,135,255
24,27,10,11,135,255
25,0,11,0,0,255
26,30,11,11,153,255
27,0,12,0,0,255
28,27,12,12,135,255
29,0,13,0,0,255
30,27,13,13,135,255
31,0,14,0,0,255
32,36,14,13,180,255
33,66,15,1,333,255
34,27,15,14,135,255
35,66,16,1,333,255
36,27,16,15,135,255
37,0,17,1,0,255
38,36,17,15,180,255
39,63,18,2,315,255
40,54,18,4,270,255
41,27,18,16,135,255
42,18,18,17,90,255
43,63,19,3,315,255
44,44,19,5,224,255
45,63,19,6,315,255
46,23,19,18,116,255
47,27,19,19,135,255
48,0,20,3,0,255
49,36,20,5,180,255
50,36,20,19,180,255
51,68,21,3,341,255
52,54,21,4,270,255
53,39,21,5,198,255
54,63,21,7,315,255
55,32,21,19,161,255
56,21,21,20,108,255
57,63,22,8,315,255
58,27,22,21,135,255
59,0,23,8,0,255
60,36,23,21,180,255
61,63,24,9,315,255
62,54,24,10,270,255
63,27,24,22,135,255
64,18,24,23,90,255
65,18,24,24,90,255
66,63,25,11,315,255
67,54,25,14,270,255
68,63,25,15,315,255
69,27,25,25,135,255
70,0,26,11,0,255
71,0,26,15,0,255
72,36,26,25,180,255
73,63,27,12,315,255
74,50,27,13,251,255
75,57,27,15,288,255
76,54,27,16,270,255
77,27,27,26,135,255
78,54,28,14,270,255
79,63,28,17,315,255
80,23,28,27,116,255
81,27,28,28,135,255
82,0,29,17,0,255
83,30,29,28,153,255
84,63,30,18,315,255
85,54,30,19,270,255
86,54,30,20,270,255
87,54,30,21,270,255
88,36,30,28,180,255
89,63,31,22,315,255
90,30,31,29,153,255
91,63,32,23,315,255
92,30,32,29,153,255
93,59,33,24,296,255
94,59,33,25,296,255
95,54,33,26,270,255
96,54,33,27,270,255
97,54,33,28,270,255
98,44,33,29,224,255
