[74;
 81;
 90;
 99;
 113;
 117;
 119;
 109;
 80;
 255;
 32;
 25;
 11;
 11;
 13;
 17;
 36;
 46;
 82;
 103;
 122;
 115;
 95;
 76;
 42;
 26;
 26]


