(i;j)= (0;2)= ,255
(i;j)= (0;3)= ,255
(i;j)= (1;1)= ,255
(i;j)= (1;4)= ,255
(i;j)= (2;0)= ,255
(i;j)= (2;5)= ,255
(i;j)= (3;0)= ,255
(i;j)= (3;5)= ,255
(i;j)= (3;6)= ,255
(i;j)= (4;0)= ,255
(i;j)= (4;6)= ,255
(i;j)= (5;0)= ,255
(i;j)= (5;6)= ,255
(i;j)= (6;0)= ,255
(i;j)= (6;7)= ,255
(i;j)= (6;8)= ,255
(i;j)= (7;0)= ,255
(i;j)= (7;9)= ,255
(i;j)= (8;0)= ,255
(i;j)= (8;9)= ,255
(i;j)= (9;0)= ,255
(i;j)= (9;10)= ,255
(i;j)= (10;0)= ,255
(i;j)= (10;10)= ,255
(i;j)= (10;11)= ,255
(i;j)= (11;0)= ,255
(i;j)= (11;11)= ,255
(i;j)= (12;0)= ,255
(i;j)= (12;12)= ,255
(i;j)= (13;0)= ,255
(i;j)= (13;13)= ,255
(i;j)= (14;0)= ,255
(i;j)= (14;13)= ,255
(i;j)= (15;1)= ,255
(i;j)= (15;14)= ,255
(i;j)= (16;1)= ,255
(i;j)= (16;15)= ,255
(i;j)= (17;1)= ,255
(i;j)= (17;15)= ,255
(i;j)= (18;2)= ,255
(i;j)= (18;4)= ,255
(i;j)= (18;16)= ,255
(i;j)= (18;17)= ,255
(i;j)= (19;3)= ,255
(i;j)= (19;5)= ,255
(i;j)= (19;6)= ,255
(i;j)= (19;18)= ,255
(i;j)= (19;19)= ,255
(i;j)= (20;3)= ,255
(i;j)= (20;5)= ,255
(i;j)= (20;19)= ,255
(i;j)= (21;3)= ,255
(i;j)= (21;4)= ,255
(i;j)= (21;5)= ,255
(i;j)= (21;7)= ,255
(i;j)= (21;19)= ,255
(i;j)= (21;20)= ,255
(i;j)= (22;8)= ,255
(i;j)= (22;21)= ,255
(i;j)= (23;8)= ,255
(i;j)= (23;21)= ,255
(i;j)= (24;9)= ,255
(i;j)= (24;10)= ,255
(i;j)= (24;22)= ,255
(i;j)= (24;23)= ,255
(i;j)= (24;24)= ,255
(i;j)= (25;11)= ,255
(i;j)= (25;14)= ,255
(i;j)= (25;15)= ,255
(i;j)= (25;25)= ,255
(i;j)= (26;11)= ,255
(i;j)= (26;15)= ,255
(i;j)= (26;25)= ,255
(i;j)= (27;12)= ,255
(i;j)= (27;13)= ,255
(i;j)= (27;15)= ,255
(i;j)= (27;16)= ,255
(i;j)= (27;26)= ,255
(i;j)= (28;14)= ,255
(i;j)= (28;17)= ,255
(i;j)= (28;27)= ,255
(i;j)= (28;28)= ,255
(i;j)= (29;17)= ,255
(i;j)= (29;28)= ,255
(i;j)= (30;18)= ,255
(i;j)= (30;19)= ,255
(i;j)= (30;20)= ,255
(i;j)= (30;21)= ,255
(i;j)= (30;28)= ,255
(i;j)= (31;22)= ,255
(i;j)= (31;29)= ,255
(i;j)= (32;23)= ,255
(i;j)= (32;29)= ,255
(i;j)= (33;24)= ,255
(i;j)= (33;25)= ,255
(i;j)= (33;26)= ,255
(i;j)= (33;27)= ,255
(i;j)= (33;28)= ,255
(i;j)= (33;29)= ,255
